Game ID,Title,Release Year,Adjusted Release Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
7,Cathedral,1979,2001,22,29,93,86,127,162,231,213,253,180,174,164,179,176,161,188,165,163,143,153,159,147,157,137
9,El Caballero,1998,2001,20,34,67,62,80,93,77,99,141,57,70,64,72,79,65,48,53,47,35,45,33,38,36,53
14,Basari,1998,2001,9,12,54,73,100,122,133,136,167,121,100,68,67,69,51,53,57,54,48,61,44,40,39,46
15,Cosmic Encounter,1977,2001,47,82,200,206,270,294,365,394,412,191,148,128,154,124,111,131,125,96,93,98,90,81,82,52
17,Button Men,1999,2001,9,22,46,43,53,61,56,54,64,36,54,30,41,34,22,32,36,30,20,18,20,20,15,8
19,Wacky Wacky West,1991,2001,17,20,68,66,72,98,95,120,150,109,118,78,93,72,74,74,79,77,79,92,85,80,85,67
20,Full Metal Planète,1988,2001,3,14,20,14,28,26,47,49,70,56,48,40,29,26,31,30,29,39,42,32,23,27,29,28
21,Gateway to the Stars,1994,2001,0,2,2,3,2,3,1,2,1,2,2,4,0,1,0,1,0,2,1,1,0,0,2,1
23,Divine Right,1979,2001,3,10,25,23,44,36,42,32,51,17,23,26,32,24,15,22,21,22,29,24,22,13,16,68
24,Twilight Imperium,1997,2001,8,21,72,70,68,55,53,36,64,23,35,29,26,22,22,16,16,15,10,16,7,9,10,11
26,Age of Renaissance,1996,2001,23,40,89,113,151,126,137,177,223,134,136,118,83,81,65,68,84,72,69,61,39,53,42,50
27,Supremacy: The Game of the Superpowers,1984,2001,17,26,60,82,101,93,97,99,120,73,53,60,53,47,52,56,58,41,41,47,32,39,17,21
28,Illuminati,1987,2001,21,38,108,138,199,189,288,276,474,318,317,313,311,268,269,259,255,214,199,170,166,155,164,115
32,Buffalo Chess,1975,2001,2,5,4,14,20,7,8,11,10,9,15,12,8,9,11,13,35,20,30,32,32,20,32,34
34,Arkham Horror,1987,2001,0,0,0,0,12,41,40,63,50,34,37,27,29,19,31,22,29,20,21,27,16,22,19,18
43,Airlines,1990,2001,8,12,22,31,26,26,30,27,39,23,20,18,13,10,10,11,10,10,5,5,9,5,3,9
46,Medici,1995,2001,17,54,124,145,230,202,447,464,572,373,425,370,336,288,250,480,576,465,409,389,415,444,411,559
47,Chinatown,1999,2001,13,22,66,71,94,112,128,254,675,577,453,392,404,366,551,600,679,535,764,841,803,1088,1169,1001
59,Giganten,1999,2001,9,28,54,71,65,86,110,117,171,101,95,64,51,64,45,49,30,45,35,34,34,32,25,29
61,Fossil,1998,2001,14,21,48,41,65,55,52,68,63,39,34,24,15,20,11,14,20,14,9,20,14,5,8,9
64,Joan of Arc,1998,2001,5,4,18,16,28,31,41,41,48,32,25,21,22,8,15,13,13,7,13,16,16,13,14,11
69,Bollox,1999,2001,0,0,1,2,5,2,4,0,4,5,0,1,2,4,2,0,1,3,4,3,3,0,2,2
70,Big City,1999,2001,26,38,82,109,141,135,193,186,267,158,127,143,85,90,74,80,86,84,70,70,63,59,50,43
73,Show Manager,1996,2001,6,18,44,48,60,68,97,91,123,74,141,122,122,107,94,97,92,71,71,80,47,53,55,41
74,Apples to Apples,1999,2001,25,52,187,256,384,525,848,899,1246,942,1053,1001,1109,1220,1307,1261,1255,978,892,911,815,823,735,668
79,MedFront: War in North Africa 1940-43,1994,2001,2,1,7,3,8,9,11,14,9,8,4,5,4,5,3,8,2,5,4,1,5,5,3,1
82,Bobby Lee: The Civil War in Virginia 1861-1865,1993,2001,1,1,15,4,15,13,22,30,23,16,19,9,21,23,22,22,21,8,11,19,20,17,11,14
85,Quebec 1759,1972,2001,4,3,19,21,29,39,52,55,54,55,56,33,26,23,30,42,33,24,29,25,21,31,21,18
91,Paths of Glory,1999,2001,4,20,34,65,112,124,200,246,301,228,312,286,279,224,252,293,298,241,284,327,272,275,331,316
101,Detroit-Cleveland Grand Prix,1996,2001,9,19,53,47,51,65,102,107,109,57,58,63,43,37,62,48,29,35,30,23,17,29,24,19
102,Klunker,1999,2001,10,17,33,44,48,66,92,58,86,61,48,34,30,35,29,44,38,25,24,28,22,14,27,18
103,Titan,1980,2001,15,42,99,120,166,155,233,275,503,318,252,266,247,175,148,164,168,136,101,105,89,88,84,91
104,Extrablatt,1991,2001,2,8,10,17,13,18,26,24,23,17,14,17,16,7,5,13,8,3,2,7,3,5,8,6
2,Dragonmaster,1981,2001,3,4,23,21,19,32,36,36,40,36,36,24,28,24,22,28,32,30,21,19,20,25,23,16
4,Tal der Könige,1992,2001,3,10,24,19,18,18,34,29,34,12,21,23,10,15,7,12,9,7,8,16,4,10,11,2
8,Lords of Creation,1993,2001,5,5,11,13,18,18,15,19,12,9,6,6,9,10,7,8,8,3,4,8,3,5,8,1
13,CATAN,1995,2001,67,202,492,944,1428,1809,2643,2982,4462,3937,4275,4694,5584,5879,6540,8256,9167,8776,9021,10065,9418,9813,10262,10321
30,Dark Tower,1981,2001,10,23,26,55,49,62,66,81,94,68,67,63,73,71,57,59,67,64,54,77,53,78,56,33
37,Dragon Masters,1991,2001,4,2,3,15,8,9,9,8,14,14,4,4,6,6,2,5,9,6,6,3,8,2,3,2
45,Perudo,1800,2001,10,25,111,142,238,298,571,618,835,627,685,576,656,749,821,855,971,884,883,941,946,978,1074,1100
48,Krieg und Frieden,1999,2001,3,12,34,31,47,42,68,58,69,35,38,51,38,23,18,28,28,16,10,23,22,21,16,10
54,Tikal,1999,2001,43,119,245,274,437,574,827,853,1423,1098,1081,925,902,834,957,1043,1287,1227,1214,1146,1011,1005,927,1153
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,2001,2,7,27,22,22,29,27,37,33,23,21,19,20,16,14,19,23,17,17,14,15,6,15,10
71,Civilization,1980,2001,38,73,173,211,295,335,398,428,711,498,457,418,413,344,324,352,368,313,302,293,192,211,223,196
75,Falling,1998,2001,7,19,62,72,78,85,97,92,126,77,73,90,77,70,79,51,55,47,40,34,24,33,22,22
88,Torres,1999,2001,31,78,168,202,301,406,532,532,802,561,505,447,451,352,376,402,482,547,482,529,455,426,395,338
89,Blue vs. Gray,1999,2001,4,9,16,23,34,28,36,27,36,23,27,25,27,20,9,17,17,22,8,20,15,9,10,7
90,Star Wars: Episode 1 – Clash of the Lightsabers,1999,2001,3,13,35,36,39,33,64,52,44,33,29,26,20,25,20,22,17,21,19,13,13,14,13,11
94,Union Pacific,1999,2001,20,59,127,178,207,245,329,298,520,316,333,260,203,159,156,175,117,113,94,92,98,85,92,85
95,Igel Ärgern,1990,2001,7,20,41,44,57,63,102,111,119,71,53,59,50,28,36,31,27,16,23,26,23,22,21,19
98,Axis & Allies,1981,2001,49,116,317,303,471,491,609,607,789,601,574,554,555,567,537,574,617,526,461,467,373,388,330,294
110,Auf Achse,1987,2001,7,12,24,28,38,42,84,106,143,108,88,93,111,87,86,89,89,97,104,117,99,90,102,106
112,Condottiere,1995,2001,16,35,94,87,131,137,301,511,669,517,459,478,454,439,392,598,548,552,799,689,596,660,656,537
114,Ransom,1994,2001,1,3,3,13,6,5,5,3,6,4,2,7,4,1,1,2,2,2,2,3,2,3,0,0
116,Guillotine,1998,2001,25,80,183,297,468,600,781,920,1251,972,1016,1043,1197,1286,1426,1642,1526,1330,1105,1062,913,876,839,805
